Algorithm,Image_File,Width,Height,Pixel_Count,Time_ms,Throughput_MPS,Status
Canny,Wormholeside.png,1920,1080,2073600,205.162361,10.107117,FAIL
Sobel,bugattinew.png,1920,1080,2073600,30.113078,68.860447,PASS
Canny,bugattinew.png,1920,1080,2073600,226.296001,9.163220,PASS
Sobel,7.png,1920,1080,2073600,33.673025,61.580449,PASS
Canny,7.png,1920,1080,2073600,208.677205,9.936878,PASS
Sobel,windowswalp1.png,1980,1080,2138400,39.407072,54.264372,PASS
Canny,windowswalp1.png,1980,1080,2138400,214.208150,9.982813,PASS
Sobel,windowswalp3.png,1980,1080,2138400,76.755649,27.859839,PASS
Canny,windowswalp3.png,1980,1080,2138400,263.758079,8.107429,PASS
Sobel,windowswalp2.png,1980,1080,2138400,54.237543,39.426565,PASS
Canny,windowswalp2.png,1980,1080,2138400,240.402620,8.895078,FAIL
Sobel,20.png,1125,2436,2740500,53.988947,50.760390,PASS
Canny,20.png,1125,2436,2740500,275.402263,9.950899,PASS
Sobel,walpaper4.png,1125,2436,2740500,62.137754,44.103622,PASS
Canny,walpaper4.png,1125,2436,2740500,427.824164,6.405669,PASS
Sobel,wallpaper2.png,1125,2436,2740500,48.377918,56.647746,PASS
Canny,wallpaper2.png,1125,2436,2740500,306.376652,8.944872,PASS
Sobel,blackhole2walpcomposite.png,1125,2436,2740500,41.735686,65.663231,PASS
Canny,blackhole2walpcomposite.png,1125,2436,2740500,358.269194,7.649276,PASS
Sobel,walpape2composite.png,1125,2436,2740500,38.944498,70.369375,PASS
Canny,walpape2composite.png,1125,2436,2740500,433.072324,6.328042,PASS
Sobel,walpaper.png,1125,2436,2740500,49.494717,55.369546,PASS
Canny,walpaper.png,1125,2436,2740500,332.221988,8.249002,PASS
Sobel,walpaper4composite.png,1125,2436,2740500,38.906636,70.437855,PASS
Canny,walpaper4composite.png,1125,2436,2740500,247.914908,11.054196,PASS
Sobel,blackhole2walpcomposite2.png,1125,2436,2740500,34.401696,79.661770,PASS
